2017-01-01-00-00-00|Thursday|4|1|1|1|2017-01-04-00-00-00|1484|1|1|2017-01|1672|2017-01|1720|31|25|2017-01-31-00-00-00|2017-01-25-00-00-00|January|January|2017-01|1769|2017-01|1785|90|88|2017-03-31-00-00-00|2017-03-29-00-00-00|1|1|1998|1802|1998|1806|365|361|2017-12-31-00-00-00|2017-12-27-00-00-00
2017-01-02-00-00-00|Friday|5|2|1|1|2017-01-04-00-00-00|1484|1|1|2017-01|1672|2017-01|1720|31|25|2017-01-31-00-00-00|2017-01-25-00-00-00|January|January|2017-01|1769|2017-01|1785|90|88|2017-03-31-00-00-00|2017-03-29-00-00-00|1|1|1998|1802|1998|1806|365|361|2017-12-31-00-00-00|2017-12-27-00-00-00
2017-01-03-00-00-00|Saturday|6|3|1|1|2017-01-04-00-00-00|1484|1|1|2017-01|1672|2017-01|1720|31|25|2017-01-31-00-00-00|2017-01-25-00-00-00|January|January|2017-01|1769|2017-01|1785|90|88|2017-03-31-00-00-00|2017-03-29-00-00-00|1|1|1998|1802|1998|1806|365|361|2017-12-31-00-00-00|2017-12-27-00-00-00
2017-01-04-00-00-00|Sunday|7|4|1|1|2017-01-04-00-00-00|1484|1|1|2017-01|1672|2017-01|1720|31|25|2017-01-31-00-00-00|2017-01-25-00-00-00|January|January|2017-01|1769|2017-01|1785|90|88|2017-03-31-00-00-00|2017-03-29-00-00-00|1|1|1998|1802|1998|1806|365|361|2017-12-31-00-00-00|2017-12-27-00-00-00
2017-01-05-00-00-00|Monday|1|5|2|2|2017-01-11-00-00-00|1533|1|1|2017-01|1672|2017-01|1720|31|25|2017-01-31-00-00-00|2017-01-25-00-00-00|January|January|2017-01|1769|2017-01|1785|90|88|2017-03-31-00-00-00|2017-03-29-00-00-00|1|1|1998|1802|1998|1806|365|361|2017-12-31-00-00-00|2017-12-27-00-00-00
2017-01-06-00-00-00|Tuesday|2|6|2|2|2017-01-11-00-00-00|1533|1|1|2017-01|1672|2017-01|1720|31|25|2017-01-31-00-00-00|2017-01-25-00-00-00|January|January|2017-01|1769|2017-01|1785|90|88|2017-03-31-00-00-00|2017-03-29-00-00-00|1|1|1998|1802|1998|1806|365|361|2017-12-31-00-00-00|2017-12-27-00-00-00
2017-01-07-00-00-00|Wednesday|3|7|2|2|2017-01-11-00-00-00|1533|1|1|2017-01|1672|2017-01|1720|31|25|2017-01-31-00-00-00|2017-01-25-00-00-00|January|January|2017-01|1769|2017-01|1785|90|88|2017-03-31-00-00-00|2017-03-29-00-00-00|1|1|1998|1802|1998|1806|365|361|2017-12-31-00-00-00|2017-12-27-00-00-00
2017-01-08-00-00-00|Thursday|4|8|2|2|2017-01-11-00-00-00|1533|1|1|2017-01|1672|2017-01|1720|31|25|2017-01-31-00-00-00|2017-01-25-00-00-00|January|January|2017-01|1769|2017-01|1785|90|88|2017-03-31-00-00-00|2017-03-29-00-00-00|1|1|1998|1802|1998|1806|365|361|2017-12-31-00-00-00|2017-12-27-00-00-00
2017-01-09-00-00-00|Friday|5|9|2|2|2017-01-11-00-00-00|1533|1|1|2017-01|1672|2017-01|1720|31|25|2017-01-31-00-00-00|2017-01-25-00-00-00|January|January|2017-01|1769|2017-01|1785|90|88|2017-03-31-00-00-00|2017-03-29-00-00-00|1|1|1998|1802|1998|1806|365|361|2017-12-31-00-00-00|2017-12-27-00-00-00
2017-01-10-00-00-00|Saturday|6|10|2|2|2017-01-11-00-00-00|1533|1|1|2017-01|1672|2017-01|1720|31|25|2017-01-31-00-00-00|2017-01-25-00-00-00|January|January|2017-01|1769|2017-01|1785|90|88|2017-03-31-00-00-00|2017-03-29-00-00-00|1|1|1998|1802|1998|1806|365|361|2017-12-31-00-00-00|2017-12-27-00-00-00
